Preço,Avaliação,Ganhos 6 Meses,URL
300,5.0,80,/rooms/23611026?adults=4&previous_page_section_name=1000
108,NOVO,79,/rooms/30878281?adults=4&previous_page_section_name=1000
400,NOVO,91,/rooms/37832316?adults=4&previous_page_section_name=1000
179,NOVO,77,/rooms/39545021?adults=4&previous_page_section_name=1000
96,NOVO,39,/rooms/31414733?adults=4&previous_page_section_name=1000
250,5.0,84,/rooms/35124027?adults=4&previous_page_section_name=1000
121,4.92,117,/rooms/22955562?adults=4&previous_page_section_name=1000
150,4.75,103,/rooms/37043187?adults=4&previous_page_section_name=1000
167,NOVO,0,/rooms/39300924?adults=4&previous_page_section_name=1000
291,4.80,54,/rooms/30821883?adults=4&previous_page_section_name=1000
391,4.90,49,/rooms/3503050?adults=4&previous_page_section_name=1000
208,4.0,40,/rooms/35380067?adults=4&previous_page_section_name=1000
254,NOVO,125,/rooms/39409422?adults=4&previous_page_section_name=1000
400,4.80,72,/rooms/22429239?adults=4&previous_page_section_name=1000
179,4.82,56,/rooms/32545822?adults=4&previous_page_section_name=1000
250,4.82,98,/rooms/15323966?adults=4&previous_page_section_name=1000
150,4.56,82,/rooms/22629043?adults=4&previous_page_section_name=1000
150,4.91,83,/rooms/21972842?adults=4&previous_page_section_name=1000
237,4.88,181,/rooms/8341066?adults=4&previous_page_section_name=1000
271,4.97,73,/rooms/27287347?adults=4&previous_page_section_name=1000
179,NOVO,45,/rooms/37806801?adults=4&previous_page_section_name=1000
179,NOVO,75,/rooms/39646573?adults=4&previous_page_section_name=1000
350,NOVO,56,/rooms/39624991?adults=4&previous_page_section_name=1000
350,4.78,171,/rooms/9280280?adults=4&previous_page_section_name=1000
450,5.0,110,/rooms/36484904?adults=4&previous_page_section_name=1000
387,4.94,178,/rooms/21095903?adults=4&previous_page_section_name=1000
179,5.0,73,/rooms/38155255?adults=4&previous_page_section_name=1000
258,5.0,136,/rooms/31275982?adults=4&previous_page_section_name=1000
250,4.92,88,/rooms/3781812?adults=4&previous_page_section_name=1000
341,NOVO,99,/rooms/30018366?adults=4&previous_page_section_name=1000
250,4.86,54,/rooms/22601814?adults=4&previous_page_section_name=1000
179,4.96,122,/rooms/21538493?adults=4&previous_page_section_name=1000
150,NOVO,131,/rooms/28600926?adults=4&previous_page_section_name=1000
350,NOVO,42,/rooms/38488099?adults=4&previous_page_section_name=1000
221,4.90,34,/rooms/21816769?adults=4&previous_page_section_name=1000
250,5.0,51,/rooms/9682789?adults=4&previous_page_section_name=1000
200,4.76,78,/rooms/8479715?adults=4&previous_page_section_name=1000
179,4.86,102,/rooms/1125155?adults=4&previous_page_section_name=1000
300,NOVO,26,/rooms/38570192?adults=4&previous_page_section_name=1000
241,5.0,67,/rooms/15800696?adults=4&previous_page_section_name=1000
300,NOVO,108,/rooms/39026278?adults=4&previous_page_section_name=1000
383,4.94,87,/rooms/11987366?adults=4&previous_page_section_name=1000
291,5.0,86,/rooms/31411543?adults=4&previous_page_section_name=1000
358,4.74,51,/rooms/13397659?adults=4&previous_page_section_name=1000
350,NOVO,146,/rooms/39670314?adults=4&previous_page_section_name=1000
371,5.0,74,/rooms/3820822?adults=4&previous_page_section_name=1000
300,5.0,24,/rooms/38165295?adults=4&previous_page_section_name=1000
450,NOVO,64,/rooms/38486025?adults=4&previous_page_section_name=1000
250,5.0,63,/rooms/29537045?adults=4&previous_page_section_name=1000
200,4.88,101,/rooms/14336569?adults=4&previous_page_section_name=1000
300,5.0,35,/rooms/28963426?adults=4&previous_page_section_name=1000
300,5.0,28,/rooms/23611026?adults=4&previous_page_section_name=1000
291,4.80,41,/rooms/30821883?adults=4&previous_page_section_name=1000
179,NOVO,24,/rooms/39545021?adults=4&previous_page_section_name=1000
250,4.82,40,/rooms/15323966?adults=4&previous_page_section_name=1000
250,5.0,84,/rooms/35124027?adults=4&previous_page_section_name=1000
237,4.88,61,/rooms/8341066?adults=4&previous_page_section_name=1000
271,4.97,88,/rooms/27287347?adults=4&previous_page_section_name=1000
200,4.76,78,/rooms/8479715?adults=4&previous_page_section_name=1000
150,4.56,30,/rooms/22629043?adults=4&previous_page_section_name=1000
221,4.90,11,/rooms/21816769?adults=4&previous_page_section_name=1000
350,4.83,168,/rooms/30566459?adults=4&previous_page_section_name=1000
300,5.0,76,/rooms/36930878?adults=4&previous_page_section_name=1000
121,NOVO,40,/rooms/39728669?adults=4&previous_page_section_name=1000
400,5.0,148,/rooms/18123697?adults=4&previous_page_section_name=1000
350,NOVO,31,/rooms/38488099?adults=4&previous_page_section_name=1000
167,NOVO,0,/rooms/39300924?adults=4&previous_page_section_name=1000
275,5.0,90,/rooms/23687259?adults=4&previous_page_section_name=1000
300,4.92,91,/rooms/21537168?adults=4&previous_page_section_name=1000
250,NOVO,85,/rooms/30154954?adults=4&previous_page_section_name=1000
250,4.78,69,/rooms/20871556?adults=4&previous_page_section_name=1000
250,4.81,43,/rooms/2220886?adults=4&previous_page_section_name=1000
550,4.95,63,/rooms/16063974?adults=4&previous_page_section_name=1000
350,4.80,32,/rooms/6860005?adults=4&previous_page_section_name=1000
391,4.78,54,/rooms/21311312?adults=4&previous_page_section_name=1000
379,5.0,70,/rooms/32068285?adults=4&previous_page_section_name=1000
266,5.0,135,/rooms/19542316?adults=4&previous_page_section_name=1000
250,4.57,101,/rooms/26277821?adults=4&previous_page_section_name=1000
300,5.0,129,/rooms/4610902?adults=4&previous_page_section_name=1000
341,NOVO,27,/rooms/30018366?adults=4&previous_page_section_name=1000
